Company Name,Company Website,Majors Hiring,Positions Available,Degree Required,Job Location,Online Application Web Page,Hiring Policy,Date of Attendance,Attending Receptions,Company Profile,Sponsor?,Building
3M Company,www.3m.com/careers,"Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,1,"Monday, September 24th",Yes,"3M Corporation is a large, diversified technology manufacturing company with annual revenues in excess of $ 20 billion with over 55% of the revenues coming from outside the United States. The company has 43 divisions organized as individual profit centers reporting through seven operating groups: Transportation, Graphics and Safety, Health Care, Industrial, Consumer & Office Equipment, Electro & Communications, Specialty Materials, and International.",,DC
3Red,3redgroup.com,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Financial Engineering, Interdisciplinary Programs","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,,1,"Tuesday, September 25th",Yes,"3Red is a proprietary trading firm located in downtown Chicago. We are looking for bright, talented, and motivated individuals to develop the trading architecture for our firm.",,PC
Abbott Laboratories,www.abbott.com,"Biomedical Engineering, Chemical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering",Summer Internship,"Masters, Bachelors",,,1,"Monday, September 24th",Yes,,,DC
Accenture,www.accenture.com,"Aerospace Engineering, Atmospheric, Oceanic, and Space Sciences, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences, Pharmaceutical Engineering",Full-time,"Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.accenture.com,2,"Monday, September 24th",No,"Accenture is a global management consulting, technology services and outsourcing company, with more than 244,000 people serving clients in more than 120 countries. Combining unparalleled experience, comprehensive capabilities across all industries and business functions, and extensive research on the world's most successful companies, Accenture collaborates with clients to help them become high-performance businesses and governments.",,PC
Adobe Systems,www.adobe.com/university,"Computer Engineering, Computer Science","Full-time, Summer Internship","PhD, Masters, Bachelors",West Coast,,1,"Tuesday, September 25th",Yes,"Adobe changes the world through digital experiences. For more than two decades, Adobe has been at the heart of making engaging experiences happen, and we fuel the content creation and delivery ecosystem in a way no other technology company can. Our digital media and digital marketing tools and services enable customers to create groundbreaking digital content, deploy it across media and devices, and then continually measure and optimize it based on user data.",,EECS
"Advantage Computing Systems, Inc.",www.advantagecs.com,"Computer Engineering, Computer Science, Industrial and Operations Engineering","Full-time, Summer Internship",Bachelors,,AdvantageCS.com/jobs,2,"Tuesday, September 25th",No,Advantage Computing Systems is a leading software provider serving the print and digital media industries in the U.S. and Europe. Our corporate philosophy is to develop long-term relationships through commitment to our clients' success. Our reputation for quality products & service is extremely important to us and our clients. We have a professional yet informal work environment that promotes teamwork and a healthy balance between work & family.,,EECS
"Aernnova Engineering US, Inc.",www. aernnova.com,"Aerospace Engineering, Mechanical Engineering",Full-time,Bachelors,Midwest,www.humanresources@aeus.akken.com,2,"Tuesday, September 25th",Yes,"Aernnova Engineering was established in 1986, and has become a world class leader in composite aircraft structures and components. We design, engineer and manufacture aircraft components, such as wings and parts of the fuselage, for customers like the Boeing Company, Bombardier, Goodrich Aerostructures, Sikorsky, Embraer, and Airbus. Aernnova's engineering staff designs composite and metal aircraft parts that will be made at our 11 manufacturing sites around the world.",,BBB
Air Liquide,http://www.us.airliquide.com/,"Chemical Engineering, Electrical Engineering, Industrial and Operations Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northeast, Midwest, Southeast",,2,"Monday, September 24th",No,"Air Liquide develops innovative technologies and sustainable solutions, optimizing the use of air and the planet's natural resources, enabling progress and preserving life. Located in over 80 countries, we have more than 1,000,000 customers globally in diverse industries such as steel, food and beverage, electronics and pharmaceuticals. By using gases naturally present in the atmosphere, Air Liquide separates and purifies them into oxygen, nitrogen, argon, and various rare gases and then distributes them to clientele by pipeline, compression, cylinders, or in some cases, produced directly on a clients' site. Air Liquide also uses other natural resources of gas to produce other gases caused by chemical reaction for their clients' usage (hydrogen, carbon dioxide, acetylene, helium, ozone, carbon monoxide).",,DOW
Air Products,www.airproducts.com,"Chemical Engineering, Mechanical Engineering",Summer Internship,"Masters, Bachelors","West Coast, Southwest, Northeast, Midwest, Southeast",http://www.airproducts.com/careers/overview.aspx,3,"Tuesday, September 25th",Yes,"Air Products (NYSE:APD) serves customers in industrial, energy, technology and healthcare markets worldwide with a unique portfolio of atmospheric gases, process and specialty gases, performance materials, and equipment and services.",,DOW
Aisin Technical Center of America,www.aisintca.com,"Chemical Engineering, Computer Engineering, Electrical Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,Bachelors,Midwest,,1,"Tuesday, September 25th",No,"AISIN is the 4th largest automotive supplier in the world and the 13th largest in the US. AISIN develops and builds products that contribute to the next generation of automobile manufacturing through systemization, modularization and use of recyclables. Aisin World Corp. of America (AWA) and Aisin Technical Center of America (ATC-A) located in Plymouth, MI are subsidiaries of Aisin Seiki, located in Nagoya, Japan.",,GA
